,titleId,title,region,titleType,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre1,genre2,genre3
726486,tt0102032,Pissed Off,US,movie,High Strung,1992,93,6.7,2048,Comedy,,
726496,tt0102034,Highlander II: Yellowknife,US,movie,Highlander II: The Quickening,1991,91,4.2,45098,Action,Adventure,Fantasy
726541,tt0102035,Highway 61,US,movie,Highway 61,1991,102,7.0,1405,Comedy,Music,
726604,tt0102045,The Hitman,US,movie,The Hitman,1991,95,5.4,3891,Action,Crime,Thriller
726637,tt0102048,Homicide,US,movie,Homicide,1991,102,7.0,7005,Crime,Drama,Thriller
726670,tt0102050,Voyager,US,movie,Homo Faber,1991,117,6.7,3270,Drama,Romance,
726694,tt0102057,Hook,US,movie,Hook,1991,142,6.8,244102,Adventure,Comedy,Family
726748,tt0102059,Hot Shots!,US,movie,Hot Shots!,1991,84,6.8,104147,Action,Comedy,
726824,tt0102065,House Party 2,US,movie,House Party 2,1991,94,5.3,6415,Comedy,Drama,Music
726873,tt0102070,The Adventures of Hudson Hawk,US,movie,Hudson Hawk,1991,100,5.8,54752,Action,Adventure,Comedy
726910,tt0102071,Us,US,movie,Hum,1991,184,6.8,2918,Action,Comedy,Drama
727052,tt0102095,If Looks Could Kill,US,movie,If Looks Could Kill,1991,88,5.8,6893,Action,Comedy,
727092,tt0102103,Impromptu,US,movie,Impromptu,1991,107,6.9,4970,Biography,Comedy,Music
727243,tt0102116,The Indian Runner,US,movie,The Indian Runner,1991,127,7.0,8900,Drama,,
727409,tt0102138,Project X,US,movie,JFK,1991,189,8.0,149239,Drama,History,Thriller
727435,tt0102141,Jacquot de Nantes,US,movie,Jacquot de Nantes,1991,118,7.7,1607,Biography,Drama,
727539,tt0102164,Johnny Stecchino,US,movie,Johnny Stecchino,1991,102,7.2,10471,Comedy,Crime,Romance
727641,tt0102175,Jungle Fever,US,movie,Jungle Fever,1991,132,6.6,18032,Drama,Romance,
727668,tt0102178,K2,US,movie,K2,1991,102,6.2,6677,Adventure,Drama,Sport
727712,tt0102181,Kafka,US,movie,Kafka,1991,98,6.9,9872,Drama,Mystery,Sci-Fi
727759,tt0102187,Karate Cop,US,movie,Karate Cop,1991,90,2.9,1302,Action,Sci-Fi,
727830,tt0102202,Kickboxer 2: The Road Back,US,movie,Kickboxer 2: The Road Back,1991,90,4.5,5688,Action,Sport,
727904,tt0102210,Killer Tomatoes Eat France!,US,movie,Killer Tomatoes Eat France!,1992,94,3.9,1482,Comedy,,
727965,tt0102216,King Ralph I,US,movie,King Ralph,1991,97,5.3,15727,Comedy,Romance,
728021,tt0102220,A Kiss Before Dying,US,movie,A Kiss Before Dying,1991,94,5.7,5383,Crime,Drama,Mystery
728125,tt0102240,The Crumbs,US,movie,Krummerne,1991,85,6.0,1105,Adventure,Comedy,Family
728175,tt0102250,L.A. Story,US,movie,L.A. Story,1991,95,6.7,32015,Comedy,Drama,Fantasy
728217,tt0102258,Lamhe,US,movie,Lamhe,1991,187,7.4,2743,Drama,Musical,Romance
728299,tt0102266,The Last Boy Scout,US,movie,The Last Boy Scout,1991,105,7.0,98069,Action,Comedy,Crime
728332,tt0102269,Last Dance,US,movie,Last Dance,1992,83,4.8,1479,Thriller,,
728402,tt0102279,Late for Dinner,US,movie,Late for Dinner,1991,99,6.5,1770,Drama,Sci-Fi,
728475,tt0102293,Story of Ricky,US,movie,Lik wong,1991,91,7.1,13323,Action,Comedy,Crime
728532,tt0102299,Liebestraum,US,movie,Liebestraum,1991,112,5.9,1556,Mystery,Thriller,
728573,tt0102303,Life Sucks,US,movie,Life Stinks,1991,92,5.9,10184,Comedy,,
728598,tt0102307,Light Sleeper,US,movie,Light Sleeper,1992,103,6.9,6747,Crime,Drama,
728659,tt0102313,The Linguini Incident,US,movie,The Linguini Incident,1991,108,6.3,1291,Comedy,Crime,
728701,tt0102316,Little Man Tate,US,movie,Little Man Tate,1991,99,6.6,14621,Drama,,
728818,tt0102340,Love Crimes,US,movie,Love Crimes,1992,90,4.2,1117,Romance,Thriller,
728864,tt0102343,Love Potion #9,US,movie,Love Potion No. 9,1992,92,5.7,13785,Comedy,Fantasy,Romance
728913,tt0102351,Lucky Luke,US,movie,Lucky Luke,1991,92,5.2,3876,Comedy,Western,
729007,tt0102368,Madame Bovary,US,movie,Madame Bovary,1991,143,6.6,3858,Drama,Romance,
729036,tt0102370,Madonna: Truth or Dare,US,movie,Madonna: Truth or Dare,1991,120,6.4,9260,Documentary,Music,
729160,tt0102388,The Man in the Moon,US,movie,The Man in the Moon,1991,99,7.3,16258,Drama,Romance,
729198,tt0102395,Mannequin 2: On the Move,US,movie,Mannequin: On the Move,1991,95,4.4,6162,Comedy,Fantasy,Romance
729312,tt0102411,The Marrying Man,US,movie,The Marrying Man,1991,115,5.8,5527,Comedy,Music,Romance
729344,tt0102421,Mother,US,movie,Mayrig,1991,157,7.5,3403,Drama,,
729356,tt0102422,McBain,US,movie,McBain,1991,107,4.8,1817,Action,Drama,War
729419,tt0102428,Meeting Venus,US,movie,Meeting Venus,1991,119,6.6,1323,Comedy,Drama,Romance
729487,tt0102436,"Thank You, Life",US,movie,Merci la vie,1991,117,6.6,1215,Drama,,
729528,tt0102439,The Suspended Step of the Stork,US,movie,To meteoro vima tou pelargou,1991,143,7.5,2354,Drama,Romance,
729562,tt0102443,A Midnight Clear,US,movie,A Midnight Clear,1992,108,7.2,8810,Drama,War,
729699,tt0102456,Mississippi Masala,US,movie,Mississippi Masala,1991,118,6.7,5066,Drama,Romance,
729745,tt0102460,Mobsters,US,movie,Mobsters,1991,104,6.0,8928,Crime,Drama,
729833,tt0102469,Mortal Thoughts,US,movie,Mortal Thoughts,1991,103,5.7,8705,Mystery,Thriller,
730013,tt0102492,My Girl,US,movie,My Girl,1991,102,6.9,76953,Comedy,Drama,Family
730069,tt0102494,My Own Private Idaho,US,movie,My Own Private Idaho,1991,104,7.0,54036,Drama,,
730142,tt0102500,Mystery Date,US,movie,Mystery Date,1991,97,6.1,2891,Comedy,Crime,Romance
730177,tt0102510,The Naked Gun 2½: The Smell of Fear,US,movie,The Naked Gun 2½: The Smell of Fear,1991,85,6.9,109840,Comedy,Crime,
730241,tt0102511,Naked Lunch,US,movie,Naked Lunch,1991,115,7.0,49723,Drama,,
730296,tt0102517,Necessary Roughness,US,movie,Necessary Roughness,1991,108,6.2,11400,Comedy,Sport,
